Core CO BTS - 2014,,,,,,,,,,,,,,,,,,,,,,,,,
 Sample,CO1_%C,CO1_d13C,CO1_%N,CO1_d15N,CO1_C/N,CO2_%C,CO2_d13C,CO2_%N,CO2_d15N,CO2_C/N,CO3_%C,CO3_d13C,CO3_%N,CO3_d15N,CO3_C/N,CO4_%C,CO4_d13C,CO4_%N,CO4_d15N,CO4_C/N,CO5_%C,CO5_d13C,CO5_%N,CO5_d15N,CO5_C/N
CO.01,2.315255092,-24.85,0.22,5.07,10.52388678,1.43,-23.14,0.21,5.49,6.8,NaN,-21.34,0.25,6.16,NaN,1.436872247,-23.18,0.24,5.2,6,1.098807339,-20.84,0.22,5.87,4.994578814
CO.02,NaN,-25.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.03,2.153179572,-25.32,0.21,5.45,10.25323606,1.27,-23.92,0.19,5.34,6.7,NaN,-21.64,0.27,6,NaN,1.346058981,-23.13,0.23,5.35,5.9,1.148911007,-20.78,0.2,5.27,5.744555035
CO.04,NaN,-25.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.05,2.483968804,-25.36,0.22,5.22,11.29076729,1.61,-23.23,0.19,5.37,8.5,NaN,-21.85,0.23,5.93,NaN,1.3725,-22.96,0.23,5.17,6,1.025701538,-21.09,0.21,6.23,4.884293038
CO.06,NaN,-25.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.07,2.493049806,-25.29,0.21,5.22,11.87166574,1.54,-23.23,0.21,5.59,7.3,NaN,-22.23,0.22,6.07,NaN,1.296655235,-23.24,0.23,5.42,5.6,1.09493873,-19.98,0.21,6.29,5.213993952
CO.08,NaN,-25.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.09,NaN,-25.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.10,2.167756078,-25.3,0.19,4.86,11.40924252,1.65,-23.1,0.2,5.74,8.2,NaN,-21.98,0.23,6.03,NaN,1.237722366,-23.39,0.21,5.31,5.9,1.100130255,-21.2,0.23,6.04,4.783175022
CO.11,NaN,-25.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.12,NaN,-25.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.13,2.531113716,-25.37,0.19,4.85,13.32165114,1.63,-23.02,0.2,5.75,8.1,NaN,-21.89,0.23,6.15,NaN,1.267226311,-23.34,0.22,5.27,5.8,1.101485692,-21.08,0.22,6.56,5.006753145
CO.14,NaN,-25.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.15,NaN,-25.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.16,2.321892036,-25.52,0.21,5.63,11.05662874,1.46,-21.74,0.2,5.73,7.3,NaN,-21.85,0.23,6.03,NaN,1.188042495,-23.4,0.22,4.87,5.4,1.110438952,-21.35,0.21,6,5.287804533
CO.17,NaN,-25.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
