index,LATITUDE,LONGITUDE,ELEVATION,LOCATION,CAMPAIGN,BASIS,METHOD/DEVICE,COMMENT,Event
HAB_A01 (A01),-22.9193,-42.0141,-25.0,South Atlantic Ocean,HAB11 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Miss Emma McCall,"van Veen Grab, modified (VGRABM)",summer 2009 (2009-01-05 -2009-03-17,HAB_A01
HAB_A02 (A02),-22.9346,-41.8979,-50.0,South Atlantic Ocean,HAB11 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Miss Emma McCall,"van Veen Grab, modified (VGRABM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A02
HAB_A03 (A03),-23.0603,-41.9643,-75.0,South Atlantic Ocean,HAB11 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Miss Emma McCall,"van Veen Grab, modified (VGRABM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A03
HAB_A04 (A04),-23.1373,-41.8976,-100.0,South Atlantic Ocean,HAB11 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Miss Emma McCall,"van Veen Grab, modified (VGRABM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A04
HAB_A05 (A05),-23.6047,-41.3587,-150.0,South Atlantic Ocean,HAB11 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Miss Emma McCall,"van Veen Grab, modified (VGRABM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A05
HAB_A06 (A06),-23.6327,-41.3284,-400.0,South Atlantic Ocean,HAB8 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Gyre (URI,"Box corer, modified (BCM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A06
HAB_A07 (A07),-23.6561,-41.3089,-700.0,South Atlantic Ocean,HAB8 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Gyre (URI,"Box corer, modified (BCM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A07
HAB_A08 (A08),-23.6867,-41.2693,-1000.0,South Atlantic Ocean,HAB8 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Gyre (URI,"Box corer, modified (BCM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A08
HAB_A09 (A09),-23.7527,-41.1972,-1300.0,South Atlantic Ocean,HAB8 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Gyre (URI,"Box corer, modified (BCM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A09
HAB_A10 (A10),-23.8675,-41.0784,-1900.0,South Atlantic Ocean,HAB8 (Campos Basin Environmental Heterogeneity Project (CENPES/Petrobras)),Gyre (URI,"Box corer, modified (BCM)",summer 2009 (2009-01-05 -2009-03-17),HAB_A10
