/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S34. Binned and LOESS smoothed Cenozoic deep-sea benthic foraminifer stable carbon and oxygen isotope reference splice. PANGAEA, https://doi.org/10.1594/PANGAEA.917717, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Parameter(s):	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Foraminifera, benthic [#] (Foram benth) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13Ccount
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13C
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13Cinterp
	Foraminifera, benthic [#] (Foram benth) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18Ocount
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18O
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18Ointerp
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd13cLOESSsmooth
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd18oLOESSsmooth
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: error
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd13cLOESSsmoothLongTerm
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd18oLOESSsmoothLongTerm
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENLOESSsmooth_pts
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	294263 data points
*/
Tuned time [Ma]	Foram benth [#] (ISOBENbinned_d13Ccount)	Foram benth δ13C [‰ PDB] (ISOBENbinned_d13C)	Foram benth δ13C [‰ PDB] (ISOBENbinned_d13Cinterp)	Foram benth [#] (ISOBENbinned_d18Ocount)	Foram benth δ18O [‰ PDB] (ISOBENbinned_d18O)	Foram benth δ18O [‰ PDB] (ISOBENbinned_d18Ointerp)	Foram benth δ13C [‰ PDB] (ISOBENd13cLOESSsmooth)	Foram benth δ18O [‰ PDB] (ISOBENd18oLOESSsmooth)	Comment (error)	Foram benth δ13C [‰ PDB] (ISOBENd13cLOESSsmoothLongTerm)	Foram benth δ18O [‰ PDB] (ISOBENd18oLOESSsmoothLongTerm)	Comment (ISOBENLOESSsmooth_pts)
0.000	1	-0.800	-0.800	1	3.520	3.520	-0.496	3.498	10pts smooth	-0.606218870	4.620101900	500pts smooth
0.002	1	0.430	0.430	1	3.570	3.570	-0.277	3.523	10pts smooth	-0.605598930	4.618386300	500pts smooth
0.004	2	-0.645	-0.645	2	3.535	3.535	-0.201	3.650	10pts smooth	-0.604979040	4.616678700	500pts smooth
0.006	3	0.047	0.047	3	3.807	3.807	-0.264	3.877	10pts smooth	-0.604359150	4.614979700	500pts smooth
0.008	3	-0.313	-0.313	3	3.960	3.960	-0.410	4.180	10pts smooth	-0.603739080	4.613288900	500pts smooth
0.010	2	-0.805	-0.805	2	4.925	4.925	-0.595	4.600	10pts smooth	-0.603118780	4.611607100	500pts smooth
0.012	2	-0.695	-0.695	2	4.820	4.820	-0.759	4.994	10pts smooth	-0.602498170	4.609933400	500pts smooth
0.014	3	-0.940	-0.940	3	5.353	5.353	-0.800	5.206	10pts smooth	-0.601877090	4.608268700	500pts smooth
0.016	3	-0.703	-0.703	3	5.330	5.330	-0.792	5.312	10pts smooth	-0.601255420	4.606612700	500pts smooth
0.018	3	-0.777	-0.777	3	5.277	5.277	-0.767	5.280	10pts smooth	-0.600633140	4.604964700	500pts smooth
0.020	4	-0.665	-0.665	4	5.165	5.165	-0.729	5.190	10pts smooth	-0.600010100	4.603325800	500pts smooth
0.022	2	-0.745	-0.745	2	5.050	5.050	-0.703	5.094	10pts smooth	-0.599386160	4.601695500	500pts smooth
0.024	3	-0.733	-0.733	3	5.023	5.023	-0.672	5.001	10pts smooth	-0.598761260	4.600073800	500pts smooth
0.026	4	-0.520	-0.520	4	4.923	4.923	-0.614	4.964	10pts smooth	-0.598135350	4.598461200	500pts smooth
0.028	2	-0.615	-0.615	2	4.930	4.930	-0.549	4.938	10pts smooth	-0.597508250	4.596857100	500pts smooth
0.030	2	-0.475	-0.475	2	4.975	4.975	-0.482	4.903	10pts smooth	-0.596879840	4.595262100	500pts smooth
0.032	4	-0.425	-0.425	4	4.832	4.832	-0.437	4.867	10pts smooth	-0.596250120	4.593675600	500pts smooth
0.034	4	-0.375	-0.375	4	4.837	4.837	-0.451	4.817	10pts smooth	-0.595618840	4.592098200	500pts smooth
0.036	2	-0.455	-0.455	2	4.735	4.735	-0.470	4.772	10pts smooth	-0.594986080	4.590529400	500pts smooth
0.038	2	-0.670	-0.670	2	4.755	4.755	-0.479	4.762	10pts smooth	-0.594351590	4.588969700	500pts smooth
0.040	3	-0.363	-0.363	3	4.760	4.760	-0.461	4.752	10pts smooth	-0.593715310	4.587419000	500pts smooth
0.042	4	-0.352	-0.352	4	4.810	4.810	-0.432	4.747	10pts smooth	-0.593077120	4.585876900	500pts smooth
0.044	4	-0.485	-0.485	4	4.675	4.675	-0.393	4.736	10pts smooth	-0.592436970	4.584344400	500pts smooth
0.046	4	-0.325	-0.325	4	4.722	4.722	-0.359	4.725	10pts smooth	-0.591794730	4.582820400	500pts smooth
0.048	2	-0.425	-0.425	2	4.730	4.730	-0.321	4.719	10pts smooth	-0.591150280	4.581306000	500pts smooth
0.050	3	-0.143	-0.143	3	4.730	4.730	-0.303	4.714	10pts smooth	-0.590503570	4.579800100	500pts smooth
0.052	4	-0.443	-0.443	4	4.730	4.730	-0.341	4.694	10pts smooth	-0.589854420	4.578303800	500pts smooth
0.054	4	-0.335	-0.335	4	4.628	4.628	-0.424	4.686	10pts smooth	-0.589202760	4.576816600	500pts smooth
0.056	3	-0.627	-0.627	3	4.720	4.720	-0.593	4.720	10pts smooth	-0.588548540	4.575338400	500pts smooth
0.058	3	-0.687	-0.687	3	4.740	4.740	-0.771	4.772	10pts smooth	-0.587891580	4.573869200	500pts smooth
0.060	3	-1.080	-1.080	3	4.877	4.877	-0.925	4.855	10pts smooth	-0.587231810	4.572409600	500pts smooth
0.062	5	-0.940	-0.940	5	4.942	4.942	-1.025	4.925	10pts smooth	-0.586569130	4.570959100	500pts smooth
0.064	2	-1.030	-1.030	2	4.910	4.910	-0.955	4.928	10pts smooth	-0.585903470	4.569518100	500pts smooth
0.066	2	-0.995	-0.995	2	4.970	4.970	-0.828	4.889	10pts smooth	-0.585234640	4.568086100	500pts smooth
0.068	2	-0.490	-0.490	2	4.775	4.775	-0.727	4.791	10pts smooth	-0.584562600	4.566663700	500pts smooth
0.070	5	-0.668	-0.668	5	4.628	4.628	-0.638	4.673	10pts smooth	-0.583887220	4.565250400	500pts smooth
0.072	3	-0.180	-0.180	3	4.530	4.530	-0.621	4.561	10pts smooth	-0.583208440	4.563846600	500pts smooth
0.074	2	-1.450	-1.450	2	4.530	4.530	-0.550	4.467	10pts smooth	-0.582526150	4.562452300	500pts smooth
0.076	3	0.087	0.087	3	4.370	4.370	-0.450	4.385	10pts smooth	-0.581840160	4.561067600	500pts smooth
0.078	2	-0.430	-0.430	2	4.300	4.300	-0.192	4.299	10pts smooth	-0.581150470	4.559692400	500pts smooth
